Model,DPO3034
Firmware Version,2.16

Point Format,Y,
5.000e-07,40.6,20.9
5.040e-07,41,21.1
5.080e-07,41,21.7
5.120e-07,41,21.3
5.160e-07,41.4,21.5
5.200e-07,41,21.3
5.240e-07,41,21.7
5.280e-07,41.8,21.5
5.320e-07,41,21.9
5.360e-07,41.8,21.9
5.400e-07,41.4,21.9
5.440e-07,41,21.9
5.480e-07,41.8,21.7
5.520e-07,41.4,22.1
5.560e-07,41.8,21.9
5.600e-07,41.4,22.1
5.640e-07,41.8,22.5
5.680e-07,41.4,22.5
5.720e-07,41.8,22.5
5.760e-07,41.8,22.3
5.800e-07,41.8,22.3
5.840e-07,41.8,22.7
5.880e-07,41.8,22.7
5.920e-07,41.8,22.7
5.960e-07,41.4,23.3
6.000e-07,42.2,23.1
6.040e-07,42.2,23.1
6.080e-07,42.2,23.1
6.120e-07,41.8,23.5
6.160e-07,42.2,23.7
6.200e-07,41.8,23.3
6.240e-07,41.8,23.7
6.280e-07,42.2,23.7
6.320e-07,42.2,23.7
6.360e-07,42.2,23.9
6.400e-07,42.6,24.1
6.440e-07,42.6,24.1
6.480e-07,42.2,23.7
6.520e-07,42.6,24.1
6.560e-07,42.2,24.1
6.600e-07,43,24.1
6.640e-07,41.8,24.3
6.680e-07,42.6,24.5
6.720e-07,42.2,24.5
6.760e-07,42.2,24.9
6.800e-07,42.6,24.9
6.840e-07,41.8,24.3
6.880e-07,42.2,24.5
6.920e-07,42.6,25.1
6.960e-07,42.6,24.9
7.000e-07,42.6,25.3
7.040e-07,42.2,25.1
7.080e-07,42.6,25.3
7.120e-07,43,25.1
7.160e-07,42.6,25.7
7.200e-07,42.6,25.1
7.240e-07,43,25.5
7.280e-07,42.2,25.3
7.320e-07,43,25.5
7.360e-07,42.6,25.9
7.400e-07,43.4,25.5
7.440e-07,43.4,25.7
7.480e-07,43.4,25.9
7.520e-07,42.2,25.5
7.560e-07,43.4,25.9
7.600e-07,42.6,26.1
7.640e-07,43.4,25.7
7.680e-07,43,26.1
7.720e-07,43.4,26.3
7.760e-07,43,26.3
7.800e-07,43,26.1
7.840e-07,43.4,26.1
7.880e-07,42.2,26.5
7.920e-07,42.2,26.7
7.960e-07,43,26.1
8.000e-07,42.2,26.5
8.040e-07,43,26.5
8.080e-07,43,26.7
8.120e-07,42.6,26.7
8.160e-07,42.6,26.9
8.200e-07,43,26.7
8.240e-07,43,26.7
8.280e-07,42.6,26.7
8.320e-07,43,27.1
8.360e-07,43,26.7
8.400e-07,43.8,27.1
8.440e-07,43,27.1
8.480e-07,43.4,27.1
8.520e-07,43,26.9
8.560e-07,43,26.9
8.600e-07,42.6,27.5
8.640e-07,42.6,27.1
8.680e-07,43,27.5
8.720e-07,43,27.5
8.760e-07,42.6,27.7
8.800e-07,43,27.5
8.840e-07,42.6,27.3
8.880e-07,43,27.7
8.920e-07,43,27.5
8.960e-07,43,27.9
9.000e-07,42.2,27.9
9.040e-07,43,28.1
9.080e-07,43,27.9
9.120e-07,43,27.5
9.160e-07,43,27.9
9.200e-07,42.2,27.7
9.240e-07,42.6,27.7
9.280e-07,42.2,27.5
9.320e-07,42.2,27.7
9.360e-07,41.8,28.1
9.400e-07,41.4,28.1
9.440e-07,41.8,27.5
9.480e-07,42.6,27.5
9.520e-07,41.4,27.5
9.560e-07,41.8,27.7
9.600e-07,41,27.7
9.640e-07,41.4,27.7
9.680e-07,41,27.5
9.720e-07,41,27.5
9.760e-07,40.6,27.7
9.800e-07,39.8,27.7
9.840e-07,40.2,27.7
9.880e-07,39.8,27.5
9.920e-07,39.8,27.3
9.960e-07,39,27.1
1.000e-06,39.4,27.7
1.004e-06,39,27.1
1.008e-06,38.6,27.3
1.012e-06,39,27.1
1.016e-06,38.6,27.1
1.020e-06,38.2,27.1
1.024e-06,38.2,26.7
1.028e-06,37.8,26.7
1.032e-06,37.4,26.7
1.036e-06,37.4,26.9
1.040e-06,37,26.9
1.044e-06,37.4,26.3
1.048e-06,36.6,26.3
1.052e-06,35.8,26.5
1.056e-06,35.8,26.1
1.060e-06,35.8,25.9
1.064e-06,35.8,26.1
1.068e-06,34.6,26.3
1.072e-06,35,25.9
1.076e-06,34.6,26.1
1.080e-06,34.6,25.7
1.084e-06,34.2,25.7
1.088e-06,33.4,25.3
1.092e-06,32.6,25.3
1.096e-06,33,25.3
1.100e-06,32.6,25.1
1.104e-06,31.8,24.7
1.108e-06,31.8,25.1
1.112e-06,31.8,24.7
1.116e-06,31.4,24.5
1.120e-06,30.6,24.7
1.124e-06,30.2,24.3
1.128e-06,30.2,24.1
1.132e-06,29.4,23.9
1.136e-06,29,23.9
1.140e-06,29.4,23.7
1.144e-06,28.2,23.3
1.148e-06,29,23.7
1.152e-06,27,23.3
1.156e-06,27.4,23.3
1.160e-06,27.4,23.3
1.164e-06,26.2,23.1
1.168e-06,26.2,23.1
1.172e-06,25.8,22.7
1.176e-06,26.2,22.9
1.180e-06,25.4,22.5
1.184e-06,25.4,22.3
1.188e-06,24.6,22.1
1.192e-06,25,22.1
1.196e-06,23.8,21.7
1.200e-06,24.2,21.9
1.204e-06,23.4,21.7
1.208e-06,22.6,21.3
1.212e-06,22.6,21.3
1.216e-06,22.6,21.3
1.220e-06,22.2,20.9
1.224e-06,21.8,21.1
1.228e-06,20.6,20.9
1.232e-06,21,20.3
1.236e-06,19.8,20.1
1.240e-06,20.6,20.3
1.244e-06,20.2,20.3
1.248e-06,19.4,20.1
1.252e-06,19,19.9
1.256e-06,19.4,20.1
1.260e-06,18.6,19.5
1.264e-06,18.2,19.3
1.268e-06,18.2,19.3
1.272e-06,17.8,19.3
1.276e-06,17,18.9
1.280e-06,17,18.9
1.284e-06,16.6,18.7
1.288e-06,15.4,18.5
1.292e-06,15.8,18.5
1.296e-06,16.2,18.1
1.300e-06,14.6,18.5
1.304e-06,14.6,17.9
1.308e-06,14.6,17.9
1.312e-06,14.2,17.7
1.316e-06,13.4,17.5
1.320e-06,13.8,17.5
1.324e-06,13.4,17.3
1.328e-06,12.2,17.1
1.332e-06,13,16.7
1.336e-06,12.2,16.9
1.340e-06,12.6,16.3
1.344e-06,11.8,16.9
1.348e-06,12.2,16.5
1.352e-06,11,16.3
1.356e-06,11.4,16.1
1.360e-06,11,16.3
1.364e-06,10.6,15.9
1.368e-06,10.6,15.7
1.372e-06,10.2,15.9
1.376e-06,10.2,15.9
1.380e-06,10.6,15.5
1.384e-06,10.2,15.3
1.388e-06,9,15.3
1.392e-06,9,15.5
1.396e-06,9,15.3
1.400e-06,9,15.1
1.404e-06,9.4,15.3
1.408e-06,9.8,15.3
1.412e-06,8.6,14.9
1.416e-06,8.6,15.1
1.420e-06,8.6,14.9
1.424e-06,8.2,14.7
1.428e-06,8.2,14.7
1.432e-06,8.2,14.1
1.436e-06,7.8,14.1
1.440e-06,8.6,14.7
1.444e-06,7,14.1
1.448e-06,7.4,14.1
1.452e-06,7.8,14.1
1.456e-06,7.4,13.7
1.460e-06,7.4,13.7
1.464e-06,7.4,13.7
1.468e-06,6.6,13.3
1.472e-06,7.4,13.3
1.476e-06,7,13.3
1.480e-06,6.6,13.3
1.484e-06,6.2,13.3
1.488e-06,6.6,12.9
1.492e-06,6.2,12.9
1.496e-06,6.2,12.9
1.500e-06,6.2,12.9
1.504e-06,6.2,12.7
1.508e-06,6.2,12.9
1.512e-06,5.4,13.1
1.516e-06,5.8,12.9
1.520e-06,6.2,12.9
1.524e-06,5.4,12.7
1.528e-06,6.2,12.7
1.532e-06,5,12.5
1.536e-06,5.8,12.5
1.540e-06,6.6,12.3
1.544e-06,5.4,12.3
1.548e-06,5.4,12.3
1.552e-06,5.4,12.3
1.556e-06,5,12.1
1.560e-06,5.4,12.1
1.564e-06,5,12.1
1.568e-06,5,11.7
1.572e-06,5,11.7
1.576e-06,5.4,12.1
1.580e-06,5,12.1
1.584e-06,5,12.1
1.588e-06,4.2,11.7
1.592e-06,5.4,11.9
1.596e-06,4.2,11.9
1.600e-06,4.6,11.5
1.604e-06,5,12.1
1.608e-06,4.6,11.3
1.612e-06,4.2,11.3
1.616e-06,4.6,11.7
1.620e-06,4.6,11.3
1.624e-06,4.6,11.3
1.628e-06,4.2,11.3
1.632e-06,4.2,11.1
1.636e-06,4.6,11.3
1.640e-06,4.2,11.5
1.644e-06,3.4,11.3
1.648e-06,3.8,10.9
1.652e-06,3.8,11.3
1.656e-06,3.4,10.9
1.660e-06,4.6,10.9
1.664e-06,3.4,10.7
1.668e-06,4.6,10.7
1.672e-06,4.2,10.9
1.676e-06,4.6,10.9
1.680e-06,3.8,10.7
1.684e-06,4.2,10.7
1.688e-06,3.8,10.7
1.692e-06,4.2,10.7
1.696e-06,3.4,10.5
1.700e-06,3.8,10.3
1.704e-06,3.8,10.3
1.708e-06,3.4,10.3
1.712e-06,3,10.3
1.716e-06,3.4,10.1
1.720e-06,3.8,10.1
1.724e-06,4.2,10.1
1.728e-06,3.8,10.3
1.732e-06,3,10.1
1.736e-06,3.4,10.3
1.740e-06,3.4,9.9
1.744e-06,3,9.7
1.748e-06,3,9.7
1.752e-06,3.8,9.9
1.756e-06,3.4,9.9
1.760e-06,3.8,9.9
1.764e-06,3.4,9.7
1.768e-06,3.8,10.1
1.772e-06,3.8,9.7
1.776e-06,3.8,9.9
1.780e-06,3.4,9.7
1.784e-06,3,10.1
1.788e-06,3.8,9.7
1.792e-06,3.8,9.5
1.796e-06,3.4,9.7
1.800e-06,3.8,9.7
1.804e-06,3.4,9.5
1.808e-06,3.8,9.5
1.812e-06,3,9.5
1.816e-06,3.4,9.5
1.820e-06,3.4,9.3
1.824e-06,3,9.5
1.828e-06,3.4,9.5
1.832e-06,3,9.3
1.836e-06,3,9.3
1.840e-06,3.8,9.7
1.844e-06,3.8,9.3
1.848e-06,3,9.5
1.852e-06,3.4,9.3
1.856e-06,3,9.1
1.860e-06,3,8.9
1.864e-06,3.8,9.1
1.868e-06,2.6,9.1
1.872e-06,3.4,9.3
1.876e-06,3,9.1
1.880e-06,3,9.3
1.884e-06,3.8,9.1
1.888e-06,3,8.9
1.892e-06,3.4,9.1
1.896e-06,3.4,9.1
1.900e-06,3.4,8.5
1.904e-06,3,9.1
1.908e-06,4.6,9.1
1.912e-06,3.8,8.7
1.916e-06,4.2,8.7
1.920e-06,3.4,8.9
1.924e-06,3.4,8.9
1.928e-06,3.4,8.9
1.932e-06,3.8,8.5
1.936e-06,3.8,8.7
1.940e-06,4.2,8.7
1.944e-06,3.4,8.9
1.948e-06,4.6,8.7
1.952e-06,3.8,8.7
1.956e-06,3.4,8.7
1.960e-06,3.4,8.3
1.964e-06,3.8,8.5
1.968e-06,3.8,8.7
1.972e-06,3.8,8.9
1.976e-06,4.2,8.3
1.980e-06,3,8.9
1.984e-06,4.6,8.5
1.988e-06,3.4,8.5
1.992e-06,3.4,8.5
1.996e-06,3,8.3
2.000e-06,3.4,8.5
2.004e-06,3.4,8.1
2.008e-06,3.8,8.3
2.012e-06,3.4,8.3
2.016e-06,3.8,8.3
2.020e-06,3.4,8.5
2.024e-06,3.8,8.3
2.028e-06,3.8,8.1
2.032e-06,5,8.3
2.036e-06,4.2,8.3
2.040e-06,3.8,8.1
2.044e-06,4.2,8.3
2.048e-06,3.8,8.5
2.052e-06,3.8,8.3
2.056e-06,4.6,8.3
2.060e-06,3.4,8.1
2.064e-06,3.8,7.9
2.068e-06,3.4,8.1
2.072e-06,4.2,8.3
2.076e-06,3.8,8.3
2.080e-06,3.4,7.9
2.084e-06,3.8,8.3
2.088e-06,4.2,8.5
2.092e-06,3.4,7.9
2.096e-06,4.2,8.3
2.100e-06,3.4,8.3
2.104e-06,3.8,7.9
2.108e-06,3.8,8.1
2.112e-06,3.8,7.7
2.116e-06,3.8,8.1
2.120e-06,3.4,7.9
2.124e-06,3.8,8.1
2.128e-06,3.4,7.9
2.132e-06,3.8,7.7
2.136e-06,3.8,7.9
2.140e-06,3.8,7.9
2.144e-06,4.6,8.1
2.148e-06,3.8,8.1
2.152e-06,3.8,7.7
2.156e-06,3.8,7.9
2.160e-06,3.8,7.7
2.164e-06,4.6,7.7
2.168e-06,3.8,7.7
2.172e-06,4.2,7.7
2.176e-06,3.8,8.1
2.180e-06,3.8,7.7
2.184e-06,3.4,8.1
2.188e-06,4.2,7.5
2.192e-06,4.2,7.7
2.196e-06,3.8,7.7
2.200e-06,3.8,7.9
2.204e-06,3.8,7.7
2.208e-06,4.2,7.9
2.212e-06,3.8,7.3
2.216e-06,4.2,7.7
2.220e-06,4.2,7.7
2.224e-06,4.2,7.7
2.228e-06,4.2,7.7
2.232e-06,4.2,7.5
2.236e-06,3.8,7.7
2.240e-06,4.6,7.9
2.244e-06,5,7.5
2.248e-06,3.8,7.5
2.252e-06,4.6,7.5
2.256e-06,3.8,7.3
2.260e-06,3.8,7.5
2.264e-06,5,7.3
2.268e-06,3.8,7.3
2.272e-06,4.2,7.7
2.276e-06,3.8,7.3
2.280e-06,4.2,7.5
2.284e-06,4.2,7.1
2.288e-06,4.6,7.7
2.292e-06,4.2,7.7
2.296e-06,4.2,7.5
2.300e-06,3.8,6.9
2.304e-06,4.2,7.5
2.308e-06,3.4,7.5
2.312e-06,4.6,7.3
2.316e-06,3.8,7.1
2.320e-06,3.8,7.5
2.324e-06,3.8,7.3
2.328e-06,4.2,7.1
2.332e-06,3.8,7.5
2.336e-06,4.6,7.1
2.340e-06,4.6,7.3
2.344e-06,4.2,7.3
2.348e-06,3.8,7.3
2.352e-06,4.2,7.5
2.356e-06,3.8,7.1
2.360e-06,4.2,7.3
2.364e-06,4.2,7.1
2.368e-06,4.6,7.1
2.372e-06,4.6,7.1
2.376e-06,4.2,7.1
2.380e-06,4.6,6.9
2.384e-06,4.2,7.3
2.388e-06,4.2,6.9
2.392e-06,4.2,7.1
2.396e-06,4.2,6.9
2.400e-06,3.8,6.5
2.404e-06,3.8,7.3
2.408e-06,4.6,7.3
2.412e-06,3.4,6.9
2.416e-06,4.2,7.3
2.420e-06,3.8,6.9
2.424e-06,4.2,7.1
2.428e-06,4.6,6.9
2.432e-06,4.2,6.7
2.436e-06,4.2,6.9
2.440e-06,3.8,6.5
2.444e-06,4.6,6.9
2.448e-06,4.2,6.9
2.452e-06,3.8,6.9
2.456e-06,3.4,6.9
2.460e-06,4.6,6.9
2.464e-06,3.8,7.1
2.468e-06,4.6,6.5
2.472e-06,3.8,6.9
2.476e-06,5,6.9
2.480e-06,4.2,6.9
2.484e-06,4.6,6.7
2.488e-06,4.6,6.5
2.492e-06,4.6,6.7
2.496e-06,4.2,6.9
2.500e-06,4.2,6.5
2.504e-06,3,6.9
2.508e-06,3.4,6.9
2.512e-06,4.2,6.9
2.516e-06,3.8,6.9
2.520e-06,4.2,6.7
2.524e-06,3.4,6.5
2.528e-06,4.2,6.9
2.532e-06,4.2,6.9
2.536e-06,3.8,6.5
2.540e-06,5,6.5
2.544e-06,4.2,6.7
2.548e-06,4.6,6.5
2.552e-06,3.8,6.3
2.556e-06,4.6,6.9
2.560e-06,4.2,6.3
2.564e-06,3.8,6.5
2.568e-06,3.8,6.7
2.572e-06,4.6,6.7
2.576e-06,3.8,6.5
2.580e-06,4.6,6.7
2.584e-06,3.8,6.3
2.588e-06,3.8,6.3
2.592e-06,3.4,6.7
2.596e-06,4.2,6.3
2.600e-06,3.8,6.5
2.604e-06,3.8,6.7
2.608e-06,4.2,6.7
2.612e-06,3.8,6.7
2.616e-06,4.6,6.3
