Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-06,
Sample Interval,1e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,2
Label,,
TIME,CH1,CH2
-2.750e-06,0,0.12
-2.740e-06,0,-0.04
-2.730e-06,0,0.04
-2.720e-06,0,0.12
-2.710e-06,-0.2,0.12
-2.700e-06,-0.2,0.2
-2.690e-06,0.2,0.2
-2.680e-06,0,0.2
-2.670e-06,0.4,0.12
-2.660e-06,0.2,0.04
-2.650e-06,0.4,-0.12
-2.640e-06,0,0.12
-2.630e-06,0.4,0.12
-2.620e-06,0,0.04
-2.610e-06,0,0.2
-2.600e-06,0,0.04
-2.590e-06,0,0.12
-2.580e-06,0,0.04
-2.570e-06,-0.2,-0.04
-2.560e-06,0.2,-0.04
-2.550e-06,0.2,0.04
-2.540e-06,-0.2,-0.12
-2.530e-06,0,0.04
-2.520e-06,0,-0.04
-2.510e-06,0,0.04
-2.500e-06,0,0.12
-2.490e-06,0,-0.04
-2.480e-06,0.2,0.04
-2.470e-06,0.2,-0.04
-2.460e-06,0.2,-0.12
-2.450e-06,-0.2,0.04
-2.440e-06,0.2,0.04
-2.430e-06,-0.2,-0.04
-2.420e-06,0.2,-0.04
-2.410e-06,0.2,0.04
-2.400e-06,0.2,0.04
-2.390e-06,0,-0.12
-2.380e-06,0,-0.04
-2.370e-06,-0.2,-0.04
-2.360e-06,0.4,-0.04
-2.350e-06,0,-0.04
-2.340e-06,0.2,-0.04
-2.330e-06,0,0.04
-2.320e-06,0.4,0.04
-2.310e-06,0,0.12
-2.300e-06,0.2,-0.04
-2.290e-06,0,0.04
-2.280e-06,0.2,0.04
-2.270e-06,0,0.04
-2.260e-06,0.4,-0.2
-2.250e-06,0,0.04
-2.240e-06,0.2,0.04
-2.230e-06,0,0.04
-2.220e-06,0.4,0.12
-2.210e-06,0.2,0.04
-2.200e-06,0.2,-0.04
-2.190e-06,0.2,-0.12
-2.180e-06,0,-0.12
-2.170e-06,0.4,0.04
-2.160e-06,0,-0.04
-2.150e-06,0.4,0.04
-2.140e-06,0,0.04
-2.130e-06,0.6,0.04
-2.120e-06,0.2,0.04
-2.110e-06,0.4,-0.12
-2.100e-06,0.2,0.12
-2.090e-06,0.2,0.12
-2.080e-06,0.6,-0.04
-2.070e-06,0,0.12
-2.060e-06,0.4,0.2
-2.050e-06,0.4,0.12
-2.040e-06,0.2,0.2
-2.030e-06,0.4,0.04
-2.020e-06,0.4,0.04
-2.010e-06,0.6,0.04
-2.000e-06,0.4,0.04
-1.990e-06,0.4,0.12
-1.980e-06,0.6,0.12
-1.970e-06,0,0.04
-1.960e-06,0.6,0.12
-1.950e-06,0.4,0.2
-1.940e-06,0.4,0.12
-1.930e-06,0.4,0.12
-1.920e-06,0.4,0.2
-1.910e-06,0.6,0.12
-1.900e-06,0.4,0.04
-1.890e-06,0.6,0.2
-1.880e-06,0.2,0.28
-1.870e-06,0.6,0.04
-1.860e-06,0,0.2
-1.850e-06,0.6,0.2
-1.840e-06,0.6,0.12
-1.830e-06,0.8,0.12
-1.820e-06,0.6,0.2
-1.810e-06,0.6,0.2
-1.800e-06,0.4,0.12
-1.790e-06,0.6,0.28
-1.780e-06,0.6,0.28
-1.770e-06,0.4,0.28
-1.760e-06,0.2,0.2
-1.750e-06,0.4,0.28
-1.740e-06,0.6,0.2
-1.730e-06,0.4,0.28
-1.720e-06,0.8,0.2
-1.710e-06,0.8,0.28
-1.700e-06,0.6,0.2
-1.690e-06,1,0.2
-1.680e-06,0.8,0.36
-1.670e-06,0.6,0.2
-1.660e-06,0.8,0.28
-1.650e-06,0.6,0.28
-1.640e-06,0.8,0.28
-1.630e-06,0.8,0.28
-1.620e-06,0.6,0.44
-1.610e-06,1.2,0.28
-1.600e-06,1,0.28
-1.590e-06,1.2,0.2
-1.580e-06,1.2,0.36
-1.570e-06,1.4,0.36
-1.560e-06,1.2,0.44
-1.550e-06,1,0.44
-1.540e-06,1.2,0.52
-1.530e-06,1.2,0.52
-1.520e-06,1.4,0.36
-1.510e-06,1.4,0.52
-1.500e-06,1.6,0.6
-1.490e-06,1.4,0.52
-1.480e-06,1.8,0.6
-1.470e-06,1.2,0.6
-1.460e-06,1.4,0.44
-1.450e-06,1.4,0.6
-1.440e-06,1.8,0.52
-1.430e-06,1.8,0.52
-1.420e-06,1.6,0.68
-1.410e-06,1.6,0.68
-1.400e-06,1.8,0.52
-1.390e-06,1.8,0.6
-1.380e-06,1.8,0.76
-1.370e-06,2,0.68
-1.360e-06,2,0.6
-1.350e-06,2,0.6
-1.340e-06,2,0.68
-1.330e-06,1.8,0.76
-1.320e-06,2,0.76
-1.310e-06,2,0.76
-1.300e-06,2,0.76
-1.290e-06,2,0.76
-1.280e-06,1.8,0.76
-1.270e-06,1.6,0.6
-1.260e-06,2,0.76
-1.250e-06,2.2,0.84
-1.240e-06,2,0.84
-1.230e-06,2,0.76
-1.220e-06,2,0.76
-1.210e-06,2,0.76
-1.200e-06,2,0.84
-1.190e-06,2.2,0.76
-1.180e-06,2,0.76
-1.170e-06,2.2,0.76
-1.160e-06,2.2,0.84
-1.150e-06,2,0.84
-1.140e-06,2.2,0.68
-1.130e-06,2.2,0.68
-1.120e-06,2,0.76
-1.110e-06,2.2,0.68
-1.100e-06,2.2,0.84
-1.090e-06,2.2,0.76
-1.080e-06,2.2,0.76
-1.070e-06,2,0.76
-1.060e-06,2.6,0.76
-1.050e-06,2,0.76
-1.040e-06,2.2,0.76
-1.030e-06,2.2,0.76
-1.020e-06,2.4,0.68
-1.010e-06,2.2,0.84
-1.000e-06,2.4,0.76
-9.900e-07,2,0.68
-9.800e-07,2.4,0.76
-9.700e-07,2.4,0.76
-9.600e-07,2.6,0.76
-9.500e-07,2.2,0.6
-9.400e-07,2.2,0.84
-9.300e-07,2,0.76
-9.200e-07,2,0.76
-9.100e-07,2.2,0.76
-9.000e-07,2.2,0.76
-8.900e-07,2.2,0.76
-8.800e-07,2.4,0.76
-8.700e-07,1.8,0.68
-8.600e-07,2,0.76
-8.500e-07,2,0.76
-8.400e-07,2,0.76
-8.300e-07,2.2,0.76
-8.200e-07,2.2,0.84
-8.100e-07,2.2,0.76
-8.000e-07,2.2,0.68
-7.900e-07,2,0.92
-7.800e-07,2.2,0.76
-7.700e-07,2,0.68
-7.600e-07,2,0.68
-7.500e-07,2.2,0.68
-7.400e-07,2.2,0.68
-7.300e-07,2.2,0.76
-7.200e-07,2,0.68
-7.100e-07,2.2,0.76
-7.000e-07,2,0.6
-6.900e-07,2.4,0.68
-6.800e-07,2,0.68
-6.700e-07,2,0.68
-6.600e-07,2.2,0.76
-6.500e-07,2.4,0.6
-6.400e-07,2.2,0.76
-6.300e-07,2.4,0.68
-6.200e-07,2,0.84
-6.100e-07,2,0.76
-6.000e-07,2.4,0.76
-5.900e-07,2.4,0.68
-5.800e-07,2,0.68
-5.700e-07,2.4,0.76
-5.600e-07,2.4,0.76
-5.500e-07,2.2,0.76
-5.400e-07,2.2,0.6
-5.300e-07,2,0.76
-5.200e-07,2.2,0.76
-5.100e-07,2,0.6
-5.000e-07,2.6,0.68
-4.900e-07,2.4,0.76
