Tiempo (min)	T (K) 	I pulso(mA)	Vinst 1 (V)	Iinst 1 (mA)	Rinst 1(Ohm)	Rrem 1 (Ohm)	Ibias 1 (mA)	Vbias 1 (V)	Vinst 2 (V)	Iinst 2 (mA)	Rinst 2(Ohm)	Rrem 2 (Ohm)	Ibias 2 (mA)	Vbias 2 (V)	Ancho pulso (s)	Periodo (s)	Icc 1 (mA)	Vcc 1 (V)	Icc 2 (mA)	Vcc 2 (V)	2W 1?	N
1.180067E-2	4.996000E+1	-1.000000E+2	-1.005037E-1	-5.580000E-2	1.801142E+3	3.062312E+3	1.674000E-2	5.126310E-2	8.390100E-3	-5.580000E-2	-1.503602E+2	4.670550E+2	1.674000E-2	7.818500E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	2.000000E+0	5.000000E-3	1.000000E+0	1.000000E+0
3.598540E-2	4.996000E+1	-9.900000E+1	-9.560660E-2	-5.300870E-2	1.803602E+3	2.413764E+3	2.006360E-2	4.842880E-2	-1.557800E-3	-5.300870E-2	2.938763E+1	1.562980E+2	2.006360E-2	3.135900E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	2.000000E+0	5.000000E-3	1.000000E+0	2.000000E+0
6.005344E-2	4.996000E+1	-9.800000E+1	-9.591390E-2	-5.204900E-2	1.842762E+3	2.528338E+3	2.015130E-2	5.094930E-2	5.804000E-4	-5.204900E-2	-1.115103E+1	-5.141554E+2	2.015130E-2	-1.036090E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	2.000000E+0	5.000000E-3	1.000000E+0	3.000000E+0
8.362145E-2	4.996000E+1	-9.700000E+1	-1.001585E-1	-5.164160E-2	1.939493E+3	2.414859E+3	2.012610E-2	4.860170E-2	4.561000E-3	-5.164160E-2	-8.832027E+1	1.284601E+2	2.012610E-2	2.585400E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	2.000000E+0	5.000000E-3	1.000000E+0	4.000000E+0
1.075228E-1	4.996000E+1	-9.600000E+1	-9.741380E-2	-5.090340E-2	1.913699E+3	2.580185E+3	1.995140E-2	5.147830E-2	3.171000E-3	-5.090340E-2	-6.229446E+1	-2.053440E+2	1.995140E-2	-4.096900E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.000000E+0
1.314575E-1	4.996000E+1	-9.500000E+1	-9.893010E-2	-4.955840E-2	1.996233E+3	2.645698E+3	1.993440E-2	5.274040E-2	-6.443700E-3	-4.955840E-2	1.300224E+2	-1.189502E+2	1.993440E-2	-2.371200E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.000000E+0
1.552589E-1	4.996000E+1	-9.400000E+1	-9.135190E-2	-4.936930E-2	1.850379E+3	2.582670E+3	2.021300E-2	5.220350E-2	-3.977200E-3	-4.936930E-2	8.056019E+1	2.778558E+2	2.021300E-2	5.616300E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	7.000000E+0
1.795436E-1	4.996000E+1	-9.300000E+1	-9.040150E-2	-4.834960E-2	1.869747E+3	2.278262E+3	2.010550E-2	4.580560E-2	-7.530400E-3	-4.834960E-2	1.557490E+2	-3.880282E+2	2.010550E-2	-7.801500E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	8.000000E+0
2.030450E-1	4.996000E+1	-9.200000E+1	-9.186560E-2	-4.801060E-2	1.913444E+3	2.438540E+3	2.017740E-2	4.920340E-2	3.739600E-3	-4.801060E-2	-7.789113E+1	-3.836917E+2	2.017740E-2	-7.741900E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	9.000000E+0
2.267463E-1	4.996000E+1	-9.100000E+1	-9.020090E-2	-4.701990E-2	1.918356E+3	2.555651E+3	1.995640E-2	5.100160E-2	1.385900E-3	-4.701990E-2	-2.947475E+1	2.788128E+2	1.995640E-2	5.564100E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	1.000000E+1
2.505810E-1	4.996000E+1	-9.000000E+1	-8.852850E-2	-4.621750E-2	1.915476E+3	2.572545E+3	1.986570E-2	5.110540E-2	4.022100E-3	-4.621750E-2	-8.702548E+1	6.196208E+2	1.986570E-2	1.230920E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	1.100000E+1
2.743157E-1	4.996000E+1	-8.900000E+1	-9.178460E-2	-4.561460E-2	2.012176E+3	2.321254E+3	1.983290E-2	4.603720E-2	4.003000E-4	-4.561460E-2	-8.775699E+0	1.456318E+2	1.983290E-2	2.888300E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	1.200000E+1
2.982504E-1	4.996000E+1	-8.800000E+1	-8.459590E-2	-4.500460E-2	1.879717E+3	2.493537E+3	1.988260E-2	4.957800E-2	-3.317000E-4	-4.500460E-2	7.370358E+0	4.556145E+2	1.988260E-2	9.058800E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	1.300000E+1
3.226518E-1	4.996000E+1	-8.700000E+1	-8.376600E-2	-4.411000E-2	1.899025E+3	2.531795E+3	1.986630E-2	5.029740E-2	1.141370E-2	-4.411000E-2	-2.587554E+2	1.799178E+2	1.986630E-2	3.574300E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	1.400000E+1
3.464532E-1	4.996000E+1	-8.600000E+1	-9.156950E-2	-4.294070E-2	2.132464E+3	2.478052E+3	2.003630E-2	4.965100E-2	-1.177480E-2	-4.294070E-2	2.742107E+2	2.248519E+2	2.003630E-2	4.505200E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	1.500000E+1
3.702378E-1	4.996000E+1	-8.500000E+1	-8.110660E-2	-4.275060E-2	1.897204E+3	2.625831E+3	2.008530E-2	5.274060E-2	-7.174000E-4	-4.275060E-2	1.678105E+1	3.996256E+2	2.008530E-2	8.026600E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	1.600000E+1
3.946892E-1	4.996000E+1	-8.400000E+1	-8.596350E-2	-4.216150E-2	2.038910E+3	2.486911E+3	2.014350E-2	5.009510E-2	7.459100E-3	-4.216150E-2	-1.769173E+2	-4.764415E+2	2.014350E-2	-9.597200E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	1.700000E+1
4.184906E-1	4.996000E+1	-8.300000E+1	-8.464380E-2	-4.122800E-2	2.053066E+3	2.311923E+3	2.002930E-2	4.630620E-2	9.531400E-3	-4.122800E-2	-2.311875E+2	2.286201E+2	2.002930E-2	4.579100E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	1.800000E+1
4.426753E-1	4.996000E+1	-8.200000E+1	-8.269130E-2	-4.028570E-2	2.052622E+3	2.620839E+3	2.019460E-2	5.292680E-2	-1.003750E-2	-4.028570E-2	2.491579E+2	4.002258E+2	2.019460E-2	8.082400E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	1.900000E+1
4.663600E-1	4.996000E+1	-8.100000E+1	-8.410930E-2	-3.957510E-2	2.125309E+3	2.560580E+3	2.030630E-2	5.199590E-2	-3.651200E-3	-3.957510E-2	9.226003E+1	-3.027829E+2	2.030630E-2	-6.148400E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	2.000000E+1
4.902947E-1	4.996000E+1	-8.000000E+1	-7.808700E-2	-3.922790E-2	1.990599E+3	2.654465E+3	2.004310E-2	5.320370E-2	7.021000E-4	-3.922790E-2	-1.789798E+1	-9.016569E+1	2.004310E-2	-1.807200E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	2.100000E+1
5.140461E-1	4.996000E+1	-7.900000E+1	-7.829130E-2	-3.815780E-2	2.051777E+3	2.472052E+3	2.031640E-2	5.022320E-2	2.839800E-3	-3.815780E-2	-7.442253E+1	-4.381239E+2	2.031640E-2	-8.901100E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	2.200000E+1
5.376974E-1	4.996000E+1	-7.800000E+1	-7.810090E-2	-3.768140E-2	2.072664E+3	2.738754E+3	1.972050E-2	5.400960E-2	4.195000E-3	-3.768140E-2	-1.113281E+2	7.561370E+2	1.972050E-2	1.491140E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	2.300000E+1
5.612988E-1	4.996000E+1	-7.700000E+1	-7.605490E-2	-3.678620E-2	2.067485E+3	2.653695E+3	1.996160E-2	5.297200E-2	-1.118210E-2	-3.678620E-2	3.039754E+2	6.992425E+1	1.996160E-2	1.395800E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	2.400000E+1
5.861002E-1	4.996000E+1	-7.600000E+1	-7.538270E-2	-3.623280E-2	2.080510E+3	2.626088E+3	1.982230E-2	5.205510E-2	1.301010E-2	-3.623280E-2	-3.590697E+2	1.073437E+2	1.982230E-2	2.127800E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	2.500000E+1
6.098349E-1	4.996000E+1	-7.500000E+1	-7.149840E-2	-3.570150E-2	2.002672E+3	2.322045E+3	2.002140E-2	4.649060E-2	-2.598000E-3	-3.570150E-2	7.277005E+1	1.716014E+2	2.002140E-2	3.435700E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	2.600000E+1
6.336362E-1	4.996000E+1	-7.400000E+1	-7.432180E-2	-3.513160E-2	2.115526E+3	2.485990E+3	2.001810E-2	4.976480E-2	4.081200E-3	-3.513160E-2	-1.161689E+2	2.341181E+2	2.001810E-2	4.686600E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	2.700000E+1
6.578876E-1	4.996000E+1	-7.300000E+1	-7.270510E-2	-3.444530E-2	2.110741E+3	2.533909E+3	1.998750E-2	5.064650E-2	3.487700E-3	-3.444530E-2	-1.012533E+2	5.728280E+2	1.998750E-2	1.144940E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	2.800000E+1
6.817557E-1	4.996000E+1	-7.200000E+1	-7.272570E-2	-3.384040E-2	2.149079E+3	2.158703E+3	2.020820E-2	4.362350E-2	3.574500E-3	-3.384040E-2	-1.056282E+2	-5.417751E+2	2.020820E-2	-1.094830E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	2.900000E+1
7.055904E-1	4.996000E+1	-7.100000E+1	-7.082000E-2	-3.287920E-2	2.153945E+3	2.355471E+3	2.001400E-2	4.714240E-2	-1.241780E-2	-3.287920E-2	3.776795E+2	-4.041271E+2	2.001400E-2	-8.088200E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	3.000000E+1
7.298751E-1	4.996000E+1	-7.000000E+1	-7.502240E-2	-3.222830E-2	2.327842E+3	2.414823E+3	1.993310E-2	4.813490E-2	-1.636320E-2	-3.222830E-2	5.077277E+2	3.669625E+2	1.993310E-2	7.314700E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	3.100000E+1
7.536598E-1	4.996000E+1	-6.900000E+1	-6.670030E-2	-3.166930E-2	2.106150E+3	2.510358E+3	2.020580E-2	5.072380E-2	2.469400E-3	-3.166930E-2	-7.797457E+1	-4.125548E+2	2.020580E-2	-8.336000E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	3.200000E+1
7.778278E-1	4.996000E+1	-6.800000E+1	-6.571510E-2	-3.111680E-2	2.111885E+3	2.531331E+3	1.979500E-2	5.010770E-2	-3.406500E-3	-3.111680E-2	1.094746E+2	2.555494E+2	1.979500E-2	5.058600E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	3.300000E+1
8.013458E-1	4.996000E+1	-6.700000E+1	-6.250320E-2	-3.047350E-2	2.051067E+3	2.408130E+3	1.992990E-2	4.799380E-2	1.213550E-2	-3.047350E-2	-3.982313E+2	4.582110E+2	1.992990E-2	9.132100E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	3.400000E+1
8.252639E-1	4.996000E+1	-6.600000E+1	-6.410500E-2	-2.968380E-2	2.159595E+3	2.364163E+3	2.006710E-2	4.744190E-2	-5.096700E-3	-2.968380E-2	1.716997E+2	-4.276004E+2	2.006710E-2	-8.580700E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	3.500000E+1
8.490652E-1	4.996000E+1	-6.500000E+1	-6.390460E-2	-2.930060E-2	2.181000E+3	2.579611E+3	1.987800E-2	5.127750E-2	9.457600E-3	-2.930060E-2	-3.227784E+2	7.129188E+2	1.987800E-2	1.417140E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	3.600000E+1
8.729666E-1	4.996000E+1	-6.400000E+1	-6.179890E-2	-2.834850E-2	2.179971E+3	2.421320E+3	1.990980E-2	4.820800E-2	-6.452300E-3	-2.834850E-2	2.276064E+2	4.519734E+2	1.990980E-2	8.998700E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	3.700000E+1
8.967513E-1	4.996000E+1	-6.300000E+1	-6.174620E-2	-2.804360E-2	2.201793E+3	2.583306E+3	2.018890E-2	5.215410E-2	1.589900E-3	-2.804360E-2	-5.669386E+1	-1.613114E+2	2.018890E-2	-3.256700E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	3.800000E+1
9.212194E-1	4.996000E+1	-6.200000E+1	-6.269610E-2	-2.744310E-2	2.284585E+3	2.582194E+3	1.988220E-2	5.133970E-2	4.381200E-3	-2.744310E-2	-1.596467E+2	5.824858E+2	1.988220E-2	1.158110E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	3.900000E+1
9.452541E-1	4.996000E+1	-6.100000E+1	-6.000670E-2	-2.677400E-2	2.241230E+3	2.114208E+3	2.030950E-2	4.293850E-2	-3.954400E-3	-2.677400E-2	1.476955E+2	-7.505453E+2	2.030950E-2	-1.524320E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	4.000000E+1
9.695221E-1	4.996000E+1	-6.000000E+1	-5.602820E-2	-2.612610E-2	2.144530E+3	2.512509E+3	2.013760E-2	5.059590E-2	1.014960E-2	-2.612610E-2	-3.884851E+2	-5.495392E+2	2.013760E-2	-1.106640E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	4.100000E+1
9.930235E-1	4.996000E+1	-5.900000E+1	-5.666300E-2	-2.571130E-2	2.203817E+3	2.721299E+3	1.995580E-2	5.430570E-2	1.245820E-2	-2.571130E-2	-4.845418E+2	3.961555E+2	1.995580E-2	7.905600E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	4.200000E+1
1.016908E+0	4.996000E+1	-5.800000E+1	-5.722660E-2	-2.496680E-2	2.292108E+3	2.601599E+3	1.990960E-2	5.179680E-2	3.625100E-3	-2.496680E-2	-1.451968E+2	6.484811E+1	1.990960E-2	1.291100E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	4.300000E+1
1.040860E+0	4.996000E+1	-5.700000E+1	-6.123690E-2	-2.409890E-2	2.541066E+3	2.452889E+3	2.010870E-2	4.932440E-2	-4.972000E-4	-2.409890E-2	2.063165E+1	-2.229632E+2	2.010870E-2	-4.483500E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	4.400000E+1
1.064928E+0	4.996000E+1	-5.600000E+1	-5.205580E-2	-2.351910E-2	2.213341E+3	2.579766E+3	1.974780E-2	5.094470E-2	-5.449100E-3	-2.351910E-2	2.316883E+2	1.511409E+2	1.974780E-2	2.984700E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	4.500000E+1
1.088746E+0	4.996000E+1	-5.500000E+1	-5.493590E-2	-2.316450E-2	2.371556E+3	2.298973E+3	1.999380E-2	4.596520E-2	-3.387700E-3	-2.316450E-2	1.462453E+2	-4.264422E+2	1.999380E-2	-8.526200E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	4.600000E+1
1.113030E+0	4.996000E+1	-5.400000E+1	-5.743770E-2	-2.257900E-2	2.543855E+3	2.545724E+3	1.984850E-2	5.052880E-2	-3.056000E-4	-2.257900E-2	1.353470E+1	2.045041E+2	1.984850E-2	4.059100E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	4.700000E+1
1.136848E+0	4.996000E+1	-5.300000E+1	-5.341840E-2	-2.195680E-2	2.432886E+3	2.491556E+3	2.006100E-2	4.998310E-2	-1.009030E-2	-2.195680E-2	4.595524E+2	2.705997E+2	2.006100E-2	5.428500E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	4.800000E+1
1.161166E+0	4.996000E+1	-5.200000E+1	-5.671110E-2	-2.120780E-2	2.674068E+3	2.619627E+3	2.026880E-2	5.309670E-2	-1.459320E-2	-2.120780E-2	6.881053E+2	6.838096E+1	2.026880E-2	1.386000E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	4.900000E+1
1.184651E+0	4.996000E+1	-5.100000E+1	-4.900140E-2	-2.073840E-2	2.362834E+3	2.296178E+3	2.002510E-2	4.598120E-2	2.006600E-3	-2.073840E-2	-9.675771E+1	1.510205E+2	2.002510E-2	3.024200E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.000000E+1
1.208569E+0	4.996000E+1	-5.000000E+1	-4.716770E-2	-2.041470E-2	2.310477E+3	2.379575E+3	2.006350E-2	4.774260E-2	-2.928000E-3	-2.041470E-2	1.434261E+2	3.908839E+2	2.006350E-2	7.842500E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.100000E+1
1.232554E+0	4.996000E+1	-4.900000E+1	-5.519380E-2	-1.967160E-2	2.805761E+3	2.574927E+3	1.985800E-2	5.113290E-2	-9.711100E-3	-1.967160E-2	4.936609E+2	1.296102E+2	1.985800E-2	2.573800E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.200000E+1
1.256522E+0	4.996000E+1	-4.800000E+1	-4.348020E-2	-1.926980E-2	2.256391E+3	2.506715E+3	1.992540E-2	4.994730E-2	1.074550E-2	-1.926980E-2	-5.576342E+2	1.827717E+2	1.992540E-2	3.641800E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.300000E+1
1.280273E+0	4.996000E+1	-4.700000E+1	-4.928770E-2	-1.870080E-2	2.635593E+3	2.578982E+3	1.978540E-2	5.102620E-2	8.508100E-3	-1.870080E-2	-4.549591E+2	5.984665E+2	1.978540E-2	1.184090E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.400000E+1
1.304525E+0	4.996000E+1	-4.600000E+1	-4.531160E-2	-1.819290E-2	2.490620E+3	2.530608E+3	1.987360E-2	5.029230E-2	4.517600E-3	-1.819290E-2	-2.483167E+2	6.039822E+2	1.987360E-2	1.200330E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.500000E+1
1.328359E+0	4.996000E+1	-4.500000E+1	-4.567790E-2	-1.759400E-2	2.596220E+3	2.301046E+3	2.004280E-2	4.611940E-2	-7.693500E-3	-1.759400E-2	4.372798E+2	-4.127667E+1	2.004280E-2	-8.273000E-4	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.600000E+1
1.352144E+0	4.996000E+1	-4.400000E+1	-4.036230E-2	-1.729880E-2	2.333243E+3	2.383758E+3	2.007830E-2	4.786180E-2	-2.264200E-3	-1.729880E-2	1.308877E+2	-2.731058E+2	2.007830E-2	-5.483500E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.700000E+1
1.376395E+0	4.996000E+1	-4.300000E+1	-4.743280E-2	-1.644040E-2	2.885137E+3	2.534646E+3	1.978710E-2	5.015330E-2	-1.161040E-2	-1.644040E-2	7.062115E+2	6.079516E+2	1.978710E-2	1.202960E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.800000E+1
1.400247E+0	4.996000E+1	-4.200000E+1	-4.690310E-2	-1.584380E-2	2.960344E+3	2.293164E+3	2.022250E-2	4.637350E-2	-8.623300E-3	-1.584380E-2	5.442697E+2	-1.083199E+2	2.022250E-2	-2.190500E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	5.900000E+1
1.424048E+0	4.996000E+1	-4.100000E+1	-4.421890E-2	-1.572550E-2	2.811923E+3	2.570220E+3	2.021940E-2	5.196830E-2	-3.280300E-3	-1.572550E-2	2.085975E+2	-2.968585E+2	2.021940E-2	-6.002300E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.000000E+1
1.448416E+0	4.996000E+1	-4.000000E+1	-3.988740E-2	-1.518780E-2	2.626279E+3	2.494782E+3	1.988230E-2	4.960200E-2	-9.381700E-3	-1.518780E-2	6.177129E+2	1.931668E+2	1.988230E-2	3.840600E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.100000E+1
1.472184E+0	4.996000E+1	-3.900000E+1	-3.910680E-2	-1.488700E-2	2.626909E+3	2.104064E+3	2.040470E-2	4.293280E-2	3.834300E-3	-1.488700E-2	-2.575603E+2	-2.781908E+2	2.040470E-2	-5.676400E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.200000E+1
1.496019E+0	4.996000E+1	-3.800000E+1	-4.201540E-2	-1.412620E-2	2.974289E+3	2.264977E+3	2.014440E-2	4.562660E-2	-3.102300E-3	-1.412620E-2	2.196132E+2	-6.342954E+2	2.014440E-2	-1.277750E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.300000E+1
1.520737E+0	4.996000E+1	-3.700000E+1	-3.446100E-2	-1.354960E-2	2.543322E+3	2.531864E+3	1.995380E-2	5.052030E-2	-8.540000E-4	-1.354960E-2	6.302769E+1	4.279736E+2	1.995380E-2	8.539700E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.400000E+1
1.544538E+0	4.996000E+1	-3.600000E+1	-3.637360E-2	-1.339530E-2	2.715400E+3	2.360280E+3	2.012270E-2	4.749520E-2	4.577100E-3	-1.339530E-2	-3.416945E+2	2.087940E+2	2.012270E-2	4.201500E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.500000E+1
1.568440E+0	4.996000E+1	-3.500000E+1	-3.096620E-2	-1.266310E-2	2.445389E+3	2.326724E+3	1.992110E-2	4.635090E-2	-2.886800E-3	-1.266310E-2	2.279695E+2	-9.238948E+1	1.992110E-2	-1.840500E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.600000E+1
1.592924E+0	4.996000E+1	-3.400000E+1	-3.001380E-2	-1.246940E-2	2.406996E+3	2.504028E+3	2.002210E-2	5.013590E-2	1.448980E-2	-1.246940E-2	-1.162029E+3	1.666259E+2	2.002210E-2	3.336200E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.700000E+1
1.616709E+0	4.996000E+1	-3.300000E+1	-3.229300E-2	-1.187240E-2	2.720006E+3	2.530631E+3	1.988180E-2	5.031350E-2	1.221310E-2	-1.187240E-2	-1.028697E+3	2.467483E+2	1.988180E-2	4.905800E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.800000E+1
1.640877E+0	4.996000E+1	-3.200000E+1	-2.832560E-2	-1.146110E-2	2.471456E+3	2.489308E+3	2.016990E-2	5.020910E-2	-1.379300E-3	-1.146110E-2	1.203462E+2	-3.499869E+2	2.016990E-2	-7.059200E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	6.900000E+1
1.664412E+0	4.996000E+1	-3.100000E+1	-3.167990E-2	-1.109750E-2	2.854688E+3	2.314691E+3	2.010450E-2	4.653570E-2	3.648500E-3	-1.109750E-2	-3.287677E+2	-1.390883E+2	2.010450E-2	-2.796300E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	7.000000E+1
1.688580E+0	4.996000E+1	-3.000000E+1	-2.968970E-2	-1.068870E-2	2.777672E+3	2.393447E+3	2.044060E-2	4.892350E-2	4.422300E-3	-1.068870E-2	-4.137360E+2	-5.375478E+2	2.044060E-2	-1.098780E-2	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	7.100000E+1
1.712548E+0	4.996000E+1	-2.900000E+1	-2.715890E-2	-1.023460E-2	2.653636E+3	2.486219E+3	1.994100E-2	4.957770E-2	-3.387700E-3	-1.023460E-2	3.310046E+2	2.296324E+2	1.994100E-2	4.579100E-3	5.000000E-2	0.000000E+0	1.000000E-1	1.000000E-1	1.000000E-1	5.000000E-3	1.000000E+0	7.200000E+1
