Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2,
Sample Interval,0.02,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.2
Label,,
TIME,CH1,CH2
-1.480e+00,0.02,-0.012
-1.460e+00,-0.02,0.004
-1.440e+00,0.06,0.02
-1.420e+00,0.1,0.004
-1.400e+00,0.02,0.012
-1.380e+00,-0.02,-0.004
-1.360e+00,-0.02,0.004
-1.340e+00,0.06,0.004
-1.320e+00,0.02,0.004
-1.300e+00,0.1,-0.004
-1.280e+00,0.02,-0.004
-1.260e+00,-0.02,0.004
-1.240e+00,-0.02,-0.004
-1.220e+00,0.02,-0.004
-1.200e+00,0.02,0.012
-1.180e+00,0.02,0.004
-1.160e+00,-0.02,-0.012
-1.140e+00,0.02,-0.004
-1.120e+00,0.02,-0.012
-1.100e+00,-0.02,-0.004
-1.080e+00,0.06,-0.012
-1.060e+00,-0.02,0.004
-1.040e+00,-0.02,0.012
-1.020e+00,-0.1,0.02
-1.000e+00,0.02,0.004
-9.800e-01,0.06,0.012
-9.600e-01,-0.02,-0.004
-9.400e-01,0.02,-0.004
-9.200e-01,-0.02,-0.012
-9.000e-01,0.02,-0.004
-8.800e-01,-0.06,-0.004
-8.600e-01,-0.02,0.02
-8.400e-01,-0.1,-0.004
-8.200e-01,0.02,0.02
-8.000e-01,0.06,0.004
-7.800e-01,-0.02,0.02
-7.600e-01,0.06,0.02
-7.400e-01,0.02,0.012
-7.200e-01,-0.06,0.004
-7.000e-01,0.06,-0.012
-6.800e-01,0.06,0.02
-6.600e-01,0.02,0.02
-6.400e-01,-0.02,0.012
-6.200e-01,0.1,0.02
-6.000e-01,0.14,0.012
-5.800e-01,0.1,0.02
-5.600e-01,0.18,0.02
-5.400e-01,0.18,0.004
-5.200e-01,0.14,0.02
-5.000e-01,0.18,0.044
-4.800e-01,0.18,0.028
-4.600e-01,0.22,0.052
-4.400e-01,0.22,0.02
-4.200e-01,0.18,0.028
-4.000e-01,0.3,0.044
-3.800e-01,0.22,0.036
-3.600e-01,0.22,0.028
-3.400e-01,0.3,0.044
-3.200e-01,0.3,0.06
-3.000e-01,0.3,0.052
-2.800e-01,0.26,0.06
-2.600e-01,0.3,0.052
-2.400e-01,0.34,0.06
-2.200e-01,0.38,0.068
-2.000e-01,0.38,0.044
-1.800e-01,0.42,0.052
-1.600e-01,0.38,0.06
-1.400e-01,0.34,0.06
-1.200e-01,0.42,0.068
-1.000e-01,0.5,0.076
-8.000e-02,0.58,0.116
-6.000e-02,0.42,0.06
-4.000e-02,0.5,0.084
-2.000e-02,0.54,0.092
6.176e-16,0.54,0.108
2.000e-02,0.62,0.068
4.000e-02,0.54,0.084
6.000e-02,0.5,0.092
8.000e-02,0.5,0.116
1.000e-01,0.58,0.084
1.200e-01,0.62,0.108
1.400e-01,0.54,0.124
1.600e-01,0.66,0.1
1.800e-01,0.62,0.108
2.000e-01,0.74,0.108
2.200e-01,0.58,0.124
2.400e-01,0.62,0.108
2.600e-01,0.66,0.092
2.800e-01,0.66,0.108
3.000e-01,0.66,0.14
3.200e-01,0.7,0.132
3.400e-01,0.74,0.124
3.600e-01,0.7,0.14
3.800e-01,0.82,0.132
4.000e-01,0.82,0.148
4.200e-01,0.74,0.164
4.400e-01,0.78,0.14
