Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1e-06,
Sample Interval,1e-08,
Record Length,1000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.5
Label,,
TIME,CH1,CH3
-1.570e-06,0.1,0.01
-1.560e-06,-0.02,0.01
-1.550e-06,-0.02,0.01
-1.540e-06,-0.02,-0.01
-1.530e-06,-0.02,0.01
-1.520e-06,0.02,0.01
-1.510e-06,-0.02,-0.01
-1.500e-06,-0.02,0.01
-1.490e-06,-0.02,0.01
-1.480e-06,-0.02,-0.01
-1.470e-06,-0.02,0.01
-1.460e-06,-0.06,0.01
-1.450e-06,-0.02,0.01
-1.440e-06,-0.02,0.01
-1.430e-06,0.02,0.01
-1.420e-06,0.02,-0.01
-1.410e-06,-0.02,0.01
-1.400e-06,0.02,0.01
-1.390e-06,0.02,-0.01
-1.380e-06,-0.02,-0.01
-1.370e-06,-0.02,0.01
-1.360e-06,0.02,0.01
-1.350e-06,-0.02,0.01
-1.340e-06,-0.02,0.01
-1.330e-06,-0.02,0.01
-1.320e-06,-0.02,-0.01
-1.310e-06,0.02,0.01
-1.300e-06,-0.02,0.01
-1.290e-06,0.02,0.03
-1.280e-06,-0.02,0.03
-1.270e-06,-0.02,0.01
-1.260e-06,-0.02,-0.01
-1.250e-06,-0.02,0.01
-1.240e-06,-0.06,0.01
-1.230e-06,-0.02,-0.03
-1.220e-06,0.02,-0.01
-1.210e-06,0.02,-0.01
-1.200e-06,-0.02,0.03
-1.190e-06,-0.02,0.01
-1.180e-06,-0.02,0.01
-1.170e-06,0.02,-0.01
-1.160e-06,-0.02,0.01
-1.150e-06,-0.02,-0.03
-1.140e-06,-0.02,0.03
-1.130e-06,0.02,0.01
-1.120e-06,-0.02,0.03
-1.110e-06,-0.02,0.01
-1.100e-06,-0.06,0.01
-1.090e-06,-0.02,0.01
-1.080e-06,-0.06,-0.01
-1.070e-06,0.02,0.01
-1.060e-06,-0.06,0.03
-1.050e-06,-0.02,0.01
-1.040e-06,0.02,0.01
-1.030e-06,0.02,-0.01
-1.020e-06,-0.02,0.03
-1.010e-06,-0.02,0.01
-1.000e-06,0.06,-0.01
-9.900e-07,0.02,0.01
-9.800e-07,-0.02,0.01
-9.700e-07,-0.02,0.01
-9.600e-07,-0.02,-0.01
-9.500e-07,-0.02,0.01
-9.400e-07,-0.02,0.01
-9.300e-07,0.06,0.01
-9.200e-07,-0.02,0.05
-9.100e-07,0.02,0.01
-9.000e-07,-0.02,0.01
-8.900e-07,-0.02,-0.01
-8.800e-07,-0.02,-0.01
-8.700e-07,-0.02,0.01
-8.600e-07,0.02,0.01
-8.500e-07,0.02,0.05
-8.400e-07,0.02,0.01
-8.300e-07,-0.02,0.03
-8.200e-07,-0.02,0.05
-8.100e-07,0.02,-0.01
-8.000e-07,-0.02,0.01
-7.900e-07,0.02,-0.01
-7.800e-07,-0.06,-0.01
-7.700e-07,-0.02,0.01
-7.600e-07,-0.02,-0.01
-7.500e-07,-0.02,0.01
-7.400e-07,-0.1,0.01
-7.300e-07,0.02,-0.01
-7.200e-07,-0.06,0.01
-7.100e-07,0.06,0.01
-7.000e-07,-0.02,0.05
-6.900e-07,0.02,0.03
-6.800e-07,0.02,0.01
-6.700e-07,0.02,0.01
-6.600e-07,-0.02,0.01
-6.500e-07,0.02,0.01
-6.400e-07,0.06,-0.01
-6.300e-07,0.02,0.01
-6.200e-07,0.02,0.01
-6.100e-07,-0.02,-0.01
-6.000e-07,0.06,-0.01
-5.900e-07,0.02,0.01
-5.800e-07,0.06,0.01
-5.700e-07,0.06,0.01
-5.600e-07,0.02,0.01
-5.500e-07,0.06,0.03
-5.400e-07,0.06,0.01
-5.300e-07,0.06,0.05
-5.200e-07,0.06,0.01
-5.100e-07,0.06,0.05
-5.000e-07,0.06,0.01
-4.900e-07,0.14,0.03
-4.800e-07,0.18,0.07
-4.700e-07,0.22,0.05
-4.600e-07,0.1,0.07
-4.500e-07,0.1,0.05
-4.400e-07,0.22,0.07
-4.300e-07,0.1,0.07
-4.200e-07,0.14,0.07
-4.100e-07,0.18,0.09
-4.000e-07,0.22,0.11
-3.900e-07,0.22,0.11
-3.800e-07,0.3,0.11
-3.700e-07,0.26,0.11
-3.600e-07,0.26,0.11
-3.500e-07,0.22,0.11
-3.400e-07,0.22,0.11
-3.300e-07,0.3,0.11
-3.200e-07,0.26,0.13
-3.100e-07,0.3,0.11
-3.000e-07,0.34,0.13
-2.900e-07,0.42,0.11
-2.800e-07,0.38,0.13
-2.700e-07,0.46,0.15
-2.600e-07,0.38,0.13
-2.500e-07,0.34,0.17
-2.400e-07,0.34,0.17
-2.300e-07,0.38,0.17
-2.200e-07,0.46,0.17
-2.100e-07,0.46,0.19
-2.000e-07,0.38,0.21
-1.900e-07,0.5,0.19
-1.800e-07,0.46,0.21
-1.700e-07,0.54,0.19
-1.600e-07,0.46,0.15
-1.500e-07,0.5,0.21
-1.400e-07,0.54,0.21
-1.300e-07,0.54,0.25
-1.200e-07,0.54,0.23
-1.100e-07,0.58,0.21
-1.000e-07,0.54,0.25
-9.000e-08,0.58,0.27
-8.000e-08,0.58,0.27
-7.000e-08,0.58,0.27
-6.000e-08,0.58,0.27
-5.000e-08,0.58,0.27
-4.000e-08,0.62,0.27
-3.000e-08,0.66,0.31
-2.000e-08,0.7,0.29
-1.000e-08,0.74,0.29
-5.238e-21,0.62,0.31
1.000e-08,0.66,0.27
2.000e-08,0.7,0.31
3.000e-08,0.78,0.27
4.000e-08,0.7,0.33
5.000e-08,0.78,0.33
6.000e-08,0.74,0.31
7.000e-08,0.78,0.31
8.000e-08,0.82,0.31
9.000e-08,0.78,0.37
1.000e-07,0.82,0.39
1.100e-07,0.82,0.39
1.200e-07,0.78,0.37
1.300e-07,0.86,0.39
1.400e-07,0.86,0.37
1.500e-07,0.82,0.39
1.600e-07,0.82,0.39
1.700e-07,0.9,0.41
1.800e-07,0.9,0.41
1.900e-07,0.98,0.43
2.000e-07,0.98,0.43
2.100e-07,0.94,0.41
2.200e-07,0.9,0.39
2.300e-07,0.9,0.39
2.400e-07,0.94,0.41
2.500e-07,1.02,0.43
2.600e-07,0.98,0.47
2.700e-07,1.06,0.49
2.800e-07,1.02,0.47
2.900e-07,1.02,0.49
3.000e-07,1.02,0.49
3.100e-07,1.06,0.45
3.200e-07,1.06,0.45
3.300e-07,1.06,0.47
3.400e-07,1.02,0.53
3.500e-07,1.1,0.53
3.600e-07,1.18,0.51
3.700e-07,1.14,0.53
3.800e-07,1.14,0.53
3.900e-07,1.14,0.53
4.000e-07,1.18,0.49
4.100e-07,1.18,0.51
4.200e-07,1.14,0.53
4.300e-07,1.18,0.55
4.400e-07,1.14,0.59
4.500e-07,1.18,0.59
4.600e-07,1.18,0.57
4.700e-07,1.26,0.57
4.800e-07,1.22,0.59
4.900e-07,1.26,0.57
5.000e-07,1.26,0.59
5.100e-07,1.3,0.59
5.200e-07,1.3,0.61
5.300e-07,1.34,0.65
5.400e-07,1.34,0.67
5.500e-07,1.34,0.65
5.600e-07,1.26,0.65
5.700e-07,1.34,0.65
5.800e-07,1.38,0.63
5.900e-07,1.38,0.63
6.000e-07,1.42,0.59
